PLAYER_ID,PLAYER_NAME,CURRENT_TEAM_ID
1627885,Shaquille Harrison,Memphis Grizzlies
1627936,Alex Caruso,Chicago Bulls
1628365,Markelle Fultz,Orlando Magic
1628368,De'Aaron Fox,Sacramento Kings
1628369,Jayson Tatum,Boston Celtics
1628370,Malik Monk,Sacramento Kings
1628371,Jonathan Isaac,Orlando Magic
1628372,Dennis Smith Jr.,Brooklyn Nets
1628373,Frank Ntilikina,Charlotte Hornets
1628374,Lauri Markkanen,Utah Jazz
1628378,Donovan Mitchell,Cleveland Cavaliers
1628379,Luke Kennard,Memphis Grizzlies
1628380,Zach Collins,San Antonio Spurs
1628381,John Collins,Utah Jazz
1628384,OG Anunoby,Toronto Raptors
1628385,Harry Giles III,Brooklyn Nets
1628386,Jarrett Allen,Cleveland Cavaliers
1628389,Bam Adebayo,Miami Heat
1628391,D.J. Wilson,Philadelphia 76ers
1628392,Isaiah Hartenstein,New York Knicks
1628398,Kyle Kuzma,Washington Wizards
1628401,Derrick White,Boston Celtics
1628404,Josh Hart,New York Knicks
1628415,Dillon Brooks,Houston Rockets
1628418,Thomas Bryant,Miami Heat
1628420,Monte Morris,Minnesota Timberwolves
1628424,Kobi Simmons,Toronto Raptors
1628426,Sasha Vezenkov,Sacramento Kings
1628436,Luke Kornet,Boston Celtics
1628449,Chris Boucher,Toronto Raptors
1628464,Daniel Theis,LA Clippers
1628467,Maxi Kleber,Dallas Mavericks
1628470,Torrey Craig,Chicago Bulls
1628960,Grayson Allen,Phoenix Suns
1628962,Udoka Azubuike,Phoenix Suns
1628963,Marvin Bagley III,Washington Wizards
1628964,Mo Bamba,Philadelphia 76ers
1628966,Keita Bates-Diop,Phoenix Suns
1628969,Mikal Bridges,Brooklyn Nets
1628970,Miles Bridges,Charlotte Hornets
1628971,Bruce Brown,Indiana Pacers
1628972,Troy Brown Jr.,Minnesota Timberwolves
1628973,Jalen Brunson,New York Knicks
1628975,Jevon Carter,Chicago Bulls
1628976,Wendell Carter Jr.,Orlando Magic
1628977,Hamidou Diallo,Washington Wizards
1628978,Donte DiVincenzo,New York Knicks
1628981,Bruno Fernando,Atlanta Hawks
1628983,Shai Gilgeous-Alexander,Oklahoma City Thunder
1628984,Devonte' Graham,San Antonio Spurs
1628988,Aaron Holiday,Houston Rockets
1628989,Kevin Huerter,Sacramento Kings
1628991,Jaren Jackson Jr.,Memphis Grizzlies
1628995,Kevin Knox II,Detroit Pistons
1628997,Caleb Martin,Miami Heat
1628998,Cody Martin,Charlotte Hornets
1629001,De'Anthony Melton,Philadelphia 76ers
1629002,Chimezie Metu,Phoenix Suns
1629003,Shake Milton,Minnesota Timberwolves
1629004,Svi Mykhailiuk,Boston Celtics
1629006,Josh Okogie,Phoenix Suns
1629007,Jontay Porter,Toronto Raptors
1629008,Michael Porter Jr.,Denver Nuggets
1629010,Jerome Robinson,Golden State Warriors
1629011,Mitchell Robinson,New York Knicks
1629012,Collin Sexton,Utah Jazz
1629013,Landry Shamet,Washington Wizards
1629014,Anfernee Simons,Portland Trail Blazers
1629018,Gary Trent Jr.,Toronto Raptors
1629020,Jarred Vanderbilt,Los Angeles Lakers
1629021,Moritz Wagner,Orlando Magic
1629022,Lonnie Walker IV,Brooklyn Nets
1629023,P.J. Washington,Charlotte Hornets
1629026,Kenrich Williams,Oklahoma City Thunder
1629027,Trae Young,Atlanta Hawks
1629028,Deandre Ayton,Portland Trail Blazers
1629029,Luka Doncic,Dallas Mavericks
1629048,Goga Bitadze,Orlando Magic
1629052,Oshae Brissett,Boston Celtics
1629057,Robert Williams III,Portland Trail Blazers
1629060,Rui Hachimura,Los Angeles Lakers
1629111,Jock Landale,Houston Rockets
1629117,Wenyen Gabriel,Memphis Grizzlies
1629130,Duncan Robinson,Miami Heat
1629139,Yuta Watanabe,Phoenix Suns
1629162,Jordan McLaughlin,Minnesota Timberwolves
1629216,Gabe Vincent,Los Angeles Lakers
1629232,Kaiser Gates,New Orleans Pelicans
1629234,Drew Eubanks,Phoenix Suns
1629308,Juan Toscano-Anderson,Sacramento Kings
1629312,Haywood Highsmith,Miami Heat
1629599,Amir Coffey,LA Clippers
1629603,Mamadi Diakite,San Antonio Spurs
1629610,DaQuan Jeffries,New York Knicks
1629611,Terance Mann,LA Clippers
1629614,Andrew Nembhard,Indiana Pacers
1629618,Jalen Pickett,Denver Nuggets
1629622,Max Strus,Cleveland Cavaliers
1629623,Lindell Wigginton,Milwaukee Bucks
1629626,Bol Bol,Phoenix Suns
1629627,Zion Williamson,New Orleans Pelicans
1629628,RJ Barrett,Toronto Raptors
1629629,Cam Reddish,Los Angeles Lakers
1629630,Ja Morant,Memphis Grizzlies
1629631,De'Andre Hunter,Atlanta Hawks
1629632,Coby White,Chicago Bulls
1629634,Brandon Clarke,Memphis Grizzlies
1629636,Darius Garland,Cleveland Cavaliers
1629637,Jaxson Hayes,Los Angeles Lakers
1629638,Nickeil Alexander-Walker,Minnesota Timberwolves
1629639,Tyler Herro,Miami Heat
1629640,Keldon Johnson,San Antonio Spurs
1629642,Nassir Little,Phoenix Suns
1629643,Chuma Okeke,Orlando Magic
1629646,Charles Bassey,San Antonio Spurs
1629647,Darius Bazley,Utah Jazz
1629650,Moses Brown,Portland Trail Blazers
1629651,Nic Claxton,Brooklyn Nets
1629652,Luguentz Dort,Oklahoma City Thunder
1629655,Daniel Gafford,Washington Wizards
1629656,Quentin Grimes,New York Knicks
1629659,Talen Horton-Tucker,Utah Jazz
1629660,Ty Jerome,Cleveland Cavaliers
1629661,Cameron Johnson,Brooklyn Nets
1629667,Jalen McDaniels,Toronto Raptors
1629669,Jaylen Nowell,Memphis Grizzlies
1629670,Jordan Nwora,Toronto Raptors
1629673,Jordan Poole,Washington Wizards
1629674,Neemias Queta,Boston Celtics
